#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     34        34       3       2685.03        438.99        367.77      0.71903      1.77924     0.5400     0.2460     0.2460
     34        34       4       2766.06        438.99        429.12      0.54076      1.57840     0.6860     0.2540     0.2540
     34        34       5       2939.11        438.99        458.17      0.28996      1.51439     0.8740     0.2320     0.2320
     34        34       6       2805.99        438.99        496.10      0.69509      1.34998     0.6980     0.2740     0.2740
     34        34       7       2732.49        438.99        570.46      1.23003      0.87352     0.5240     0.3340     0.3340
     34        34       8       2756.48        438.99        534.21      1.44088      1.20376     0.4240     0.2620     0.2620
     34        34       9       2797.13        438.99        577.96      1.14427      0.89943     0.6240     0.3120     0.3120
     34        34      10       2798.78        438.99        567.99      1.43655      1.02239     0.5280     0.2620     0.2620
     34        34      11       2724.29        438.99        574.59      1.79285      1.00251     0.4140     0.2700     0.2700
     34        34      12       2669.96        438.99        608.47      2.09071      1.12523     0.2800     0.2360     0.2360
     34        34      13       2618.22        438.99        585.33      2.25864      1.36585     0.2820     0.1940     0.1940
     35        35       3       1872.62        256.44       1171.99      0.63603     -1.43541     0.5060     0.8460     0.5060
     35        35       4       1755.13        256.44       1008.61      1.12470     -0.77050     0.3300     0.7600     0.3300
     35        35       5       1665.36        256.44       1293.10      0.33173     -2.34919     0.7960     0.9480     0.7960
     35        35       6       1669.60        256.44       1193.33      0.06111     -1.94161     0.9780     0.9360     0.9360
     35        35       7       1766.79        256.44       1103.37      0.25689     -1.51353     0.8900     0.8780     0.8780
     35        35       8       1683.08        256.44       1077.93      0.65538     -1.43053     0.6980     0.8600     0.6980
     35        35       9       1629.20        256.44       1077.29      1.12147     -1.49231     0.5080     0.8700     0.5080
     35        35      10       1574.89        256.44       1015.69      1.11825     -0.66989     0.5180     0.7300     0.5180
     35        35      11       1533.44        256.44        981.11      1.37320     -0.46354     0.3840     0.7020     0.3840
     35        35      12       1498.99        256.44       1023.48      1.00384     -0.77371     0.6240     0.7620     0.6240
     35        35      13       1492.20        256.44        989.82      0.90123     -0.55767     0.6600     0.6980     0.6600
     36        36       3       3139.28        368.49        223.80      0.99943      2.58090     0.3260     0.0940     0.0940
     36        36       4       2904.79        368.49        312.18      1.58284      2.29332     0.1740     0.1060     0.1060
     36        36       5       2741.79        368.49        371.00      2.18059      2.09051     0.0840     0.1060     0.0840
     36        36       6       2738.39        368.49        348.18      2.31624      2.39441     0.0800     0.0560     0.0560
     36        36       7       2724.36        368.49        330.61      2.42515      2.66674     0.1240     0.0360     0.0360
     36        36       8       2735.51        368.49        308.19      2.67470      2.98094     0.0860     0.0160     0.0160
     36        36       9       2616.46        368.49        380.40      2.34332      2.74779     0.1480     0.0240     0.0240
     36        36      10       2647.25        368.49        358.86      2.47212      3.03369     0.1320     0.0140     0.0140
     36        36      11       2690.44        368.49        476.43      2.34476      1.87560     0.2380     0.1060     0.1060
     36        36      12       2638.94        368.49        509.26      2.58377      1.97334     0.1340     0.0860     0.0860
     36        36      13       2612.21        368.49        511.56      2.90147      2.01688     0.1000     0.0680     0.0680
     37        37       3       2266.48        301.70        199.26      0.61779      2.79667     0.5840     0.0900     0.0900
     37        37       4       2154.28        301.70        165.63      0.69983      3.32634     0.5680     0.0220     0.0220
     37        37       5       1956.13        301.70        448.66      1.29148      1.97862     0.3480     0.1260     0.1260
     37        37       6       1987.01        301.70        477.35      1.15948      1.93862     0.4300     0.1260     0.1260
     37        37       7       1854.06        301.70        510.35      1.47680      2.06161     0.2880     0.0700     0.0700
     37        37       8       1767.02        301.70        523.99      1.35063      2.08180     0.4140     0.0860     0.0860
     37        37       9       1675.63        301.70        531.21      1.21955      2.13002     0.4920     0.0780     0.0780
     37        37      10       1607.18        301.70        505.40      1.21931      2.39711     0.5060     0.0480     0.0480
     37        37      11       1537.18        301.70        498.52      1.05908      2.77139     0.5840     0.0300     0.0300
     37        37      12       1487.57        301.70        545.93      0.82869      2.53932     0.7000     0.0240     0.0240
     37        37      13       1431.67        301.70        525.05      0.81334      2.77103     0.7180     0.0060     0.0060
     38        38       3       3168.48        270.89        365.88      0.19445      1.78972     0.8560     0.2520     0.2520
     38        38       4       3073.10        270.89        307.04      0.16095      2.32477     0.9180     0.0860     0.0860
     38        38       5       3082.95        270.89        328.33      0.43564      2.37248     0.7680     0.0800     0.0800
     38        38       6       3056.52        270.89        417.03      0.10016      1.90827     0.9600     0.1120     0.1120
     38        38       7       2963.18        270.89        486.06      0.29548      1.50452     0.9100     0.1760     0.1760
     38        38       8       2944.48        270.89        513.84      0.65710      1.36398     0.8180     0.2020     0.2020
     38        38       9       2871.93        270.89        577.82      1.14369      0.90058     0.6480     0.3360     0.3360
     38        38      10       2798.78        270.89        567.99      1.43655      1.02239     0.5120     0.2640     0.2640
     38        38      11       2784.36        270.89        540.68      1.57746      1.30410     0.5200     0.1880     0.1880
     38        38      12       2779.11        270.89        517.59      1.71994      1.56229     0.4380     0.1320     0.1320
     38        38      13       2780.53        270.89        508.81      1.95906      1.69622     0.4300     0.1220     0.1220
     39        39       3       1985.06        336.60        681.74      1.21403      0.54483     0.2100     0.4980     0.2100
     39        39       4       1803.87        336.60        556.69      1.44962      1.45740     0.2060     0.2680     0.2060
     39        39       5       2114.72        336.60        499.01      1.67848      1.69088     0.1920     0.2020     0.1920
     39        39       6       1955.22        336.60        499.97      1.63307      1.80052     0.2180     0.1520     0.1520
     39        39       7       2075.57        336.60        461.83      1.87781      2.15311     0.1640     0.0860     0.0860
     39        39       8       1933.87        336.60        427.60      2.03894      2.49721     0.1760     0.0600     0.0600
     39        39       9       1816.87        336.60        508.74      1.68820      2.27902     0.2860     0.0260     0.0260
     39        39      10       1734.30        336.60        523.26      1.55943      2.27371     0.3600     0.0780     0.0780
     39        39      11       1653.69        336.60        508.83      1.51976      2.46360     0.4140     0.0460     0.0460
     39        39      12       1688.59        336.60        549.96      1.88664      2.24441     0.3100     0.0580     0.0580
     39        39      13       1768.03        336.60        526.57      1.97724      2.49625     0.2660     0.0260     0.0260
     40        40       3       2987.38         64.80        557.53      1.41016      0.72259     0.1540     0.5060     0.1540
     40        40       4       3001.71         64.80        523.37      2.11232      1.00218     0.0560     0.3820     0.0560
     40        40       5       3011.84         64.80        477.66      2.66850      1.38555     0.0120     0.2360     0.0120
     40        40       6       2952.24         64.80        427.32      3.01619      1.83559     0.0260     0.1480     0.0260
     40        40       7       2956.94         64.80        391.50      3.27253      2.21150     0.0140     0.0660     0.0140
     40        40       8       2958.75         64.80        362.97      3.56954      2.55020     0.0060     0.0400     0.0060
     40        40       9       2959.62         64.80        341.28      3.86936      2.84635     0.0040     0.0180     0.0040
     40        40      10       2963.38         64.80        327.16      4.02676      3.08600     0.0060     0.0060     0.0060
     40        40      11       2966.17         64.80        312.41      4.19828      3.33444     0.0000     0.0060     0.0000
     40        40      12       2944.29         64.80        333.23      4.19706      3.25932     0.0020     0.0040     0.0020
     40        40      13       2946.94         64.80        324.77      4.30045      3.44515     0.0020     0.0040     0.0020
     41        41       3        674.91         99.69       1127.84      0.85180     -0.24908     0.3080     0.7120     0.3080
     41        41       4        697.78         99.69       1120.07      0.57859     -0.24266     0.5500     0.6720     0.5500
     41        41       5        671.65         99.69       1114.96      1.13561     -0.24037     0.3340     0.6240     0.3340
     41        41       6        693.22         99.69       1003.45      1.37394      0.25422     0.2660     0.4520     0.2660
     41        41       7        681.45         99.69        919.21      1.44429      0.67795     0.2440     0.3780     0.2440
     41        41       8        702.23         99.69        873.34      1.39066      0.94711     0.3580     0.2720     0.2720
     41        41       9        676.80         99.69        817.20      1.50746      1.29057     0.2660     0.2220     0.2220
     41        41      10        709.71         99.69        855.82      1.26635      1.12959     0.4040     0.2500     0.2500
     41        41      11        686.34         99.69        937.77      1.75940      0.69943     0.2140     0.3600     0.2140
     41        41      12        656.72         99.69        941.95      2.11504      0.69888     0.1520     0.3660     0.1520
     41        41      13        655.48         99.69        927.33      2.40658      0.81169     0.1180     0.3500     0.1180
     42        42       3       2266.48         91.76        199.26      0.61779      2.79667     0.5420     0.0580     0.0580
     42        42       4       2154.28         91.76        165.63      0.69983      3.32634     0.5540     0.0100     0.0100
     42        42       5       1956.13         91.76        448.66      1.29148      1.97862     0.3320     0.1240     0.1240
     42        42       6       1823.07         91.76        480.16      1.07591      2.11889     0.4100     0.0840     0.0840
     42        42       7       1697.56         91.76        492.12      0.94108      2.17156     0.5580     0.0660     0.0660
     42        42       8       1609.26         91.76        459.83      0.95079      2.48861     0.5660     0.0300     0.0300
     42        42       9       1570.49         91.76        555.02      0.58868      2.21285     0.7360     0.0660     0.0660
     42        42      10       1497.15         91.76        531.62      0.52734      2.45620     0.8020     0.0520     0.0520
     42        42      11       1446.68         91.76        557.19      0.30810      2.37814     0.8800     0.0340     0.0340
     42        42      12       1414.15         91.76        608.73      0.63623      2.10364     0.7620     0.0700     0.0700
     42        42      13       1363.89         91.76        583.88      0.62770      2.34974     0.7720     0.0200     0.0200
     43        43       3        936.79         59.00        849.58      1.52826      0.60547     0.1000     0.5120     0.1000
     43        43       4        920.81         59.00        725.33      2.07168      1.25554     0.0580     0.2980     0.0580
     43        43       5        913.05         59.00        630.21      2.47098      1.77499     0.0220     0.1880     0.0220
     43        43       6        915.69         59.00        570.51      2.85925      2.17632     0.0060     0.0800     0.0060
     43        43       7        901.71         59.00        553.49      3.31160      2.38897     0.0060     0.0680     0.0060
     43        43       8        886.40         59.00        512.79      3.60276      2.72521     0.0000     0.0140     0.0000
     43        43       9        908.54         59.00        717.29      3.37129      1.73329     0.0020     0.1020     0.0020
     43        43      10        890.43         59.00        676.51      3.59657      2.03766     0.0020     0.1020     0.0020
     43        43      11        879.45         59.00        653.83      3.90943      2.24916     0.0040     0.0600     0.0040
     43        43      12        865.18         59.00        705.06      3.79691      2.01446     0.0040     0.0660     0.0040
     43        43      13        859.92         59.00        685.16      4.07683      2.20526     0.0000     0.0280     0.0000
     44        44       3        299.06        185.28       1332.03      0.20053     -0.50493     0.8360     0.7480     0.7480
     44        44       4        340.99        185.28       1338.54      0.30890     -0.68265     0.7740     0.7380     0.7380
     44        44       5        334.53        185.28       1577.30      0.45692     -1.67990     0.6920     0.8980     0.6920
     44        44       6        366.25        185.28       1737.23      0.28323     -2.46863     0.8200     0.9540     0.8200
     44        44       7        327.82        185.28       1645.65      0.66362     -2.20529     0.6060     0.9660     0.6060
     44        44       8        337.32        185.28       1731.69      0.05063     -2.72324     0.9880     0.9740     0.9740
     44        44       9        339.31        185.28       1623.54      0.03540     -2.31789     0.9640     0.9460     0.9460
     44        44      10        321.35        185.28       1576.10      0.26650     -1.99854     0.8620     0.9140     0.8620
     44        44      11        301.75        185.28       1501.22      0.17231     -1.68547     0.9060     0.9040     0.9040
     44        44      12        327.37        185.28       1434.55      0.10501     -1.55542     0.9480     0.8980     0.8980
     44        44      13        308.09        185.28       1384.64      0.03637     -1.15376     0.9800     0.8480     0.8480
     45        45       3        594.71        279.39        859.93      0.50850      0.78411     0.5860     0.4660     0.4660
     45        45       4        638.42        279.39        935.35      1.12833      0.56790     0.2700     0.4480     0.2700
     45        45       5        623.21        279.39        879.22      1.04352      0.84971     0.3580     0.3780     0.3580
     45        45       6        606.82        279.39       1033.77      1.73712      0.21424     0.1320     0.5260     0.1320
     45        45       7        604.92        279.39        976.31      2.12381      0.49988     0.0860     0.4480     0.0860
     45        45       8        626.70        279.39        922.14      2.45720      0.79643     0.0440     0.3700     0.0440
     45        45       9        637.90        279.39        867.80      2.71383      1.11726     0.0200     0.2700     0.0200
     45        45      10        614.49        279.39       1265.32      2.03365     -1.00087     0.1100     0.8260     0.1100
     45        45      11        588.38        279.39       1355.46      1.58905     -1.54842     0.2700     0.8880     0.2700
     45        45      12        564.64        279.39       1309.22      1.85336     -1.33200     0.1940     0.8640     0.1940
     45        45      13        544.96        279.39       1472.07      1.22319     -2.17702     0.4860     0.9560     0.4860
     46        46       3        282.62        106.72        854.06      0.95109      1.04948     0.2620     0.4000     0.2620
     46        46       4        273.13        106.72       1193.76      0.51899     -0.06069     0.6240     0.6200     0.6200
     46        46       5        255.35        106.72       1071.27      0.80955      0.45220     0.4420     0.4740     0.4420
     46        46       6        248.15        106.72       1072.86      1.27908      0.47660     0.2520     0.4400     0.2520
     46        46       7        280.33        106.72        979.70      1.40248      0.86049     0.2660     0.3840     0.2660
     46        46       8        316.18        106.72        963.26      1.77598      0.98051     0.1600     0.2800     0.1600
     46        46       9        344.18        106.72        942.98      2.17115      1.02367     0.0860     0.2800     0.0860
     46        46      10        317.44        106.72        893.68      2.18246      1.41678     0.0900     0.1740     0.0900
     46        46      11        329.73        106.72        915.74      2.64015      1.25145     0.0500     0.2060     0.0500
     46        46      12        353.15        106.72        885.27      2.64878      1.46262     0.0460     0.1700     0.0460
     46        46      13        356.63        106.72        897.59      3.01510      1.44004     0.0240     0.1440     0.0240
     47        47       3        441.48        175.52        792.83      1.79794      1.13542     0.0260     0.4260     0.0260
     47        47       4        448.28        175.52       1102.01      1.62482      0.09418     0.0900     0.5880     0.0900
     47        47       5        460.32        175.52        971.07      1.80078      0.54720     0.1060     0.4360     0.1060
     47        47       6        488.35        175.52        930.02      2.30045      0.76500     0.0560     0.3980     0.0560
     47        47       7        453.54        175.52       1197.57      1.78660     -0.32043     0.1280     0.6460     0.1280
     47        47       8        479.83        175.52       1234.52      1.51560     -0.63858     0.2460     0.7240     0.2460
     47        47       9        450.09        175.52       1205.48      1.87878     -0.39220     0.1280     0.6740     0.1280
     47        47      10        438.17        175.52       1169.05      2.22568     -0.21825     0.1020     0.6060     0.1020
     47        47      11        421.02        175.52       1110.19      2.39036      0.09266     0.0620     0.5520     0.0620
     47        47      12        433.29        175.52       1081.90      2.69900      0.25468     0.0440     0.4760     0.0440
     47        47      13        443.58        175.52       1052.80      2.98123      0.43150     0.0260     0.4260     0.0260
     48        48       3       2194.92         88.70        734.93      0.59781      0.28875     0.5840     0.6040     0.5840
     48        48       4       2159.30         88.70        653.66      1.03576      0.74665     0.3840     0.4660     0.3840
     48        48       5       2124.38         88.70        566.62      1.24095      1.30456     0.3580     0.2940     0.2940
     48        48       6       2212.69         88.70        780.04      0.72135      0.09080     0.6360     0.5960     0.5960
     48        48       7       2282.82         88.70        753.42      0.54522     -0.09253     0.7560     0.5940     0.5940
     48        48       8       2230.59         88.70        732.34      0.81184      0.42538     0.6900     0.4500     0.4500
     48        48       9       2302.75         88.70        698.55      0.75942      0.31736     0.7520     0.5120     0.5120
     48        48      10       2262.21         88.70        886.92      1.56895     -1.16835     0.4020     0.8580     0.4020
     48        48      11       2299.90         88.70        844.19      1.74362     -0.85984     0.4620     0.7900     0.4620
     48        48      12       2237.34         88.70        805.15      1.67941     -0.08153     0.4460     0.5960     0.4460
     48        48      13       2202.16         88.70        776.96      1.87250      0.14753     0.3520     0.5360     0.3520
     49        49       3        804.34         68.58        453.85      1.35412      2.14792     0.1080     0.1920     0.1080
     49        49       4        783.43         68.58        371.30      1.70595      2.69362     0.0800     0.0320     0.0320
     49        49       5        811.31         68.58        606.97      1.56029      1.87707     0.1680     0.1720     0.1680
     49        49       6        855.71         68.58        645.69      1.45062      1.82361     0.2620     0.1240     0.1240
     49        49       7        893.48         68.58        605.56      1.71912      2.13032     0.1680     0.0980     0.0980
     49        49       8        864.77         68.58        560.68      1.85554      2.47502     0.1620     0.0340     0.0340
     49        49       9        901.82         68.58        868.17      1.35593      0.90860     0.3280     0.3440     0.3280
     49        49      10        874.48         68.58       1098.93      0.76625     -0.36732     0.6540     0.7180     0.6540
     49        49      11        841.21         68.58       1081.31      0.54324     -0.27711     0.7240     0.6300     0.6300
     49        49      12        810.17         68.58       1031.19      0.58927      0.01971     0.7340     0.5980     0.5980
     49        49      13        854.08         68.58        990.80      0.53812      0.27540     0.7880     0.4880     0.4880
     50        50       3        582.05         19.16        667.74      1.49433      1.46418     0.0880     0.3340     0.0880
     50        50       4        606.20         19.16        557.52      1.81291      2.03582     0.0680     0.1560     0.0680
     50        50       5        638.24         19.16        922.53      1.48360      0.66776     0.1500     0.3900     0.1500
     50        50       6        661.51         19.16        999.31      1.22377      0.27320     0.3480     0.5200     0.3480
     50        50       7        614.28         19.16        991.90      1.64993      0.42580     0.2120     0.4360     0.2120
     50        50       8        596.67         19.16        919.17      1.75228      0.81125     0.1500     0.3980     0.1500
     50        50       9        619.39         19.16        861.58      1.92440      1.14975     0.1300     0.2100     0.1300
     50        50      10        621.50         19.16        843.28      2.24230      1.29730     0.0660     0.2240     0.0660
     50        50      11        642.06         19.16        830.17      2.16950      1.42072     0.1160     0.1880     0.1160
     50        50      12        609.35         19.16        795.11      2.34357      1.67547     0.0780     0.1220     0.0780
     50        50      13        597.29         19.16        835.42      2.75556      1.48623     0.0460     0.1580     0.0460
     51        51       3        193.02        168.37        707.78      0.69452      1.55026     0.4440     0.2880     0.2880
     51        51       4        165.18        168.37        960.86      0.34199      0.80824     0.7080     0.4160     0.4160
     51        51       5        193.56        168.37        936.89      0.08175      0.96527     0.9380     0.3620     0.3620
     51        51       6        170.39        168.37       1051.09      0.39117      0.56541     0.7680     0.4140     0.4140
     51        51       7        199.87        168.37        974.24      0.56107      0.93062     0.6120     0.3180     0.3180
     51        51       8        188.11        168.37        927.69      0.43712      1.19022     0.7660     0.2140     0.2140
     51        51       9        184.96        168.37        926.83      0.72613      1.24924     0.5900     0.2280     0.2280
     51        51      10        205.78        168.37        873.83      0.77488      1.56363     0.5940     0.1420     0.1420
     51        51      11        187.08        168.37        839.44      0.71137      1.79979     0.6440     0.1020     0.1020
     51        51      12        201.95        168.37        834.87      0.55484      1.88698     0.7220     0.0740     0.0740
     51        51      13        193.89        168.37        856.70      0.82952      1.82819     0.6200     0.0780     0.0780
     52        52       3        653.75         77.33        823.57      0.53939      0.85057     0.5520     0.4580     0.4580
     52        52       4        699.59         77.33        691.87      0.55777      1.45647     0.6140     0.2540     0.2540
     52        52       5        711.83         77.33        625.18      0.50505      1.86063     0.6940     0.1460     0.1460
     52        52       6        662.63         77.33        565.38      0.64013      2.26173     0.6120     0.0700     0.0700
     52        52       7        642.95         77.33       1083.87      0.12371     -0.01114     0.9240     0.5760     0.5760
     52        52       8        680.64         77.33       1006.86      0.06394      0.26572     0.9560     0.4840     0.4840
     52        52       9        634.61         77.33        954.93      0.07043      0.66177     0.9660     0.3940     0.3940
     52        52      10        635.20         77.33       1006.76      0.47060      0.40710     0.7680     0.4420     0.4420
     52        52      11        607.21         77.33       1019.90      0.81256      0.34829     0.5880     0.4720     0.4720
     52        52      12        578.90         77.33        977.68      0.76296      0.60746     0.6360     0.3780     0.3780
     52        52      13        610.61         77.33        942.64      0.69814      0.83873     0.6920     0.3240     0.3240
     53        53       3       2596.29        603.73        363.06      1.28912      1.94967     0.1880     0.2040     0.1880
     53        53       4       2395.62        603.73        308.97      1.74111      2.44768     0.1520     0.0640     0.0640
     53        53       5       2344.78        603.73        475.31      1.57229      1.62518     0.2360     0.1980     0.1980
     53        53       6       2184.39        603.73        441.11      1.78233      2.15988     0.1800     0.0880     0.0880
     53        53       7       2052.93        603.73        459.61      1.70297      2.16744     0.2360     0.0780     0.0780
     53        53       8       2054.67        603.73        622.60      1.30961      1.17143     0.4520     0.2420     0.2420
     53        53       9       1962.16        603.73        582.90      1.43101      1.50791     0.4500     0.1720     0.1720
     53        53      10       1862.67        603.73        766.49      2.01273      0.59305     0.1880     0.4060     0.1880
     53        53      11       1846.16        603.73       1037.92      1.29285     -1.33127     0.5240     0.8540     0.5240
     53        53      12       1769.72        603.73       1045.17      1.73546     -1.43154     0.4080     0.8780     0.4080
     53        53      13       1784.08        603.73       1000.88      1.83687     -1.13852     0.3500     0.8420     0.3500
     54        54       3       2596.29        231.63        363.06      1.28912      1.94967     0.2300     0.2120     0.2120
     54        54       4       2395.62        231.63        308.97      1.74111      2.44768     0.1200     0.0920     0.0920
     54        54       5       2344.78        231.63        475.31      1.57229      1.62518     0.2180     0.1720     0.1720
     54        54       6       2184.39        231.63        441.11      1.78233      2.15988     0.2060     0.0940     0.0940
     54        54       7       2167.60        231.63        655.74      1.35949      0.89964     0.3440     0.3500     0.3440
     54        54       8       2054.67        231.63        622.60      1.30961      1.17143     0.4420     0.2360     0.2360
     54        54       9       2043.75        231.63        583.89      1.45187      1.50082     0.4200     0.1760     0.1760
     54        54      10       2079.03        231.63        715.43      0.99548      0.58886     0.6200     0.3760     0.3760
     54        54      11       2042.85        231.63        938.30      0.27126     -1.10275     0.9180     0.8200     0.8200
     54        54      12       2020.62        231.63        954.03      0.68492     -1.26649     0.8060     0.8780     0.8060
     54        54      13       2031.17        231.63        944.03      0.42656     -1.22523     0.8800     0.8380     0.8380
     55        55       3       2725.47        119.26        663.14      0.26669      0.13455     0.8060     0.6140     0.6140
     55        55       4       2707.65        119.26        677.13      0.83731      0.06220     0.5440     0.5400     0.5400
     55        55       5       2742.13        119.26        591.68      0.88009      0.63198     0.5980     0.4420     0.4420
     55        55       6       2779.53        119.26        606.36      1.38112      0.57148     0.4120     0.4340     0.4120
     55        55       7       2804.51        119.26        553.94      1.54724      0.99710     0.3860     0.2940     0.2940
     55        55       8       2825.37        119.26        547.30      1.93504      1.10085     0.2400     0.2560     0.2400
     55        55       9       2842.41        119.26        514.23      2.13825      1.42369     0.2080     0.1740     0.1740
     55        55      10       2856.68        119.26        495.72      2.41334      1.64162     0.1860     0.1480     0.1480
     55        55      11       2869.17        119.26        476.32      2.65099      1.87656     0.1560     0.1020     0.1020
     55        55      12       2879.85        119.26        457.05      2.85375      2.11955     0.1140     0.0600     0.0600
     55        55      13       2888.63        119.26        447.74      2.84900      2.27657     0.1280     0.0480     0.0480
     56        56       3        600.28        212.84       1269.04      0.73284     -0.66355     0.3900     0.7280     0.3900
     56        56       4        567.38        212.84       1119.77      0.60333     -0.14860     0.5500     0.6640     0.5500
     56        56       5        544.44        212.84       1209.11      1.26915     -0.43220     0.2400     0.7120     0.2400
     56        56       6        577.59        212.84       1265.74      0.90780     -0.82659     0.4740     0.7820     0.4740
     56        56       7        626.90        212.84       1162.60      0.88864     -0.38519     0.4540     0.6700     0.4540
     56        56       8        598.34        212.84       1214.05      1.44730     -0.66223     0.2920     0.7500     0.2920
     56        56       9        611.94        212.84       1255.55      1.08269     -0.90971     0.4060     0.7740     0.4060
     56        56      10        627.19        212.84       1235.84      0.83771     -0.84032     0.5520     0.7920     0.5520
     56        56      11        613.21        212.84       1176.33      0.96838     -0.53589     0.5500     0.6720     0.5500
     56        56      12        637.54        212.84       1248.95      0.52841     -0.97944     0.7600     0.7900     0.7600
     56        56      13        665.87        212.84       1215.48      0.36553     -0.96566     0.8620     0.7640     0.7640
     57        57       3       3306.31        102.84        863.58      1.10927     -1.36834     0.3260     0.8440     0.3260
     57        57       4       3352.14        102.84        714.23      1.56342     -0.51584     0.2640     0.6940     0.2640
     57        57       5       3309.73        102.84        620.61      1.90217      0.11085     0.1820     0.5440     0.1820
     57        57       6       3265.16        102.84        558.09      2.22409      0.59533     0.1460     0.4360     0.1460
     57        57       7       3177.88        102.84        523.16      2.42342      1.22720     0.0860     0.2800     0.0860
     57        57       8       3060.00        102.84        490.38      2.51967      1.54843     0.0960     0.1840     0.0960
     57        57       9       3040.01        102.84        486.85      2.47401      1.64891     0.1260     0.1520     0.1260
     57        57      10       2964.37        102.84        596.13      2.10111      0.78121     0.2960     0.3360     0.2960
     57        57      11       2971.68        102.84        611.31      2.53921      0.67588     0.1960     0.3460     0.1960
     57        57      12       2977.36        102.84        619.76      2.95897      0.62172     0.0980     0.3360     0.0980
     57        57      13       2983.13        102.84        615.43      3.32089      0.68302     0.0500     0.3320     0.0500
     58        58       3       1608.87        184.46        589.13      1.27431      1.18174     0.1900     0.3600     0.1900
     58        58       4       1545.73        184.46        482.28      1.54915      1.97975     0.1380     0.1640     0.1380
     58        58       5       1666.71        184.46        417.66      1.94168      2.31651     0.1140     0.0720     0.0720
     58        58       6       1774.57        184.46        399.31      2.33617      2.57921     0.0580     0.0320     0.0320
     58        58       7       1725.98        184.46        955.04      1.61373     -0.61932     0.2780     0.7240     0.2780
     58        58       8       1685.57        184.46        900.63      1.93496     -0.30635     0.1900     0.6660     0.1900
     58        58       9       1769.04        184.46        876.93      2.34119     -0.16325     0.1020     0.6180     0.1020
     58        58      10       1704.03        184.46        830.45      2.57290      0.15110     0.0740     0.4980     0.0740
     58        58      11       1713.96        184.46       1093.26      1.86434     -1.72812     0.3100     0.9120     0.3100
     58        58      12       1766.95        184.46       1042.39      1.95185     -1.41091     0.2300     0.8760     0.2300
     58        58      13       1731.51        184.46       1150.31      1.39262     -2.28358     0.5100     0.9600     0.5100
     59        59       3       1163.16         20.54       1358.10      0.06590     -1.53296     0.9580     0.8580     0.8580
     59        59       4       1223.04         20.54       1236.97      0.39151     -1.15820     0.7140     0.7900     0.7140
     59        59       5       1202.21         20.54       1119.41      0.75405     -0.70138     0.5280     0.7440     0.5280
     59        59       6       1201.54         20.54       1077.95      1.22221     -0.54181     0.3220     0.7020     0.3220
     59        59       7       1189.90         20.54       1150.55      0.77691     -0.95844     0.6100     0.7940     0.6100
     59        59       8       1175.88         20.54       1069.51      0.74877     -0.55637     0.6240     0.7440     0.6240
     59        59       9       1228.26         20.54       1056.91      0.47019     -0.50856     0.7600     0.6600     0.6600
     59        59      10       1284.78         20.54       1094.87      0.94375     -0.76031     0.5920     0.7740     0.5920
     59        59      11       1291.28         20.54       1053.68      1.17012     -0.52951     0.4820     0.7000     0.4820
     59        59      12       1301.24         20.54       1018.81      1.06027     -0.32054     0.5960     0.6500     0.5960
     59        59      13       1259.95         20.54       1015.48      0.82721     -0.30849     0.6720     0.6360     0.6360
     60        60       3       1131.99        160.29       1198.19      0.15583     -0.90184     0.8720     0.7900     0.7900
     60        60       4       1075.28        160.29       1291.88      0.51241     -1.17663     0.6660     0.8260     0.6660
     60        60       5       1077.45        160.29       1157.24      0.34207     -0.66604     0.8020     0.7300     0.7300
     60        60       6       1080.73        160.29       1151.91      0.06865     -0.68588     0.9620     0.7380     0.7380
     60        60       7       1035.55        160.29       1088.12      0.18022     -0.40151     0.9120     0.6700     0.6700
     60        60       8        999.02        160.29       1048.84      0.46534     -0.21194     0.7240     0.5960     0.5960
     60        60       9        968.10        160.29       1019.94      0.75879     -0.05982     0.6720     0.5960     0.5960
     60        60      10       1001.92        160.29       1044.75      1.19018     -0.20710     0.4480     0.6660     0.4480
     60        60      11       1039.09        160.29        992.48      1.20667      0.10163     0.4960     0.5200     0.4960
     60        60      12       1045.74        160.29       1021.89      0.89932     -0.07919     0.6120     0.5580     0.5580
     60        60      13       1071.53        160.29        984.35      0.83642      0.16121     0.6660     0.5180     0.5180
     61        61       3        998.13        179.38        387.65      0.57067      2.35709     0.5220     0.1400     0.1400
     61        61       4       1029.34        179.38        509.34      1.05949      2.08130     0.3140     0.1440     0.1440
     61        61       5       1001.81        179.38        680.69      0.78868      1.47883     0.5060     0.2340     0.2340
     61        61       6       1012.32        179.38       1056.46      0.11290     -0.22693     0.9440     0.6580     0.6580
     61        61       7       1033.17        179.38       1047.83      0.49866     -0.19636     0.7300     0.6360     0.6360
     61        61       8       1039.10        179.38       1047.86      0.90662     -0.20668     0.4920     0.6240     0.4920
     61        61       9        999.47        179.38       1000.72      1.15927      0.04782     0.4180     0.5520     0.4180
     61        61      10        992.91        179.38       1004.91      1.55658      0.02538     0.2900     0.5700     0.2900
     61        61      11        975.08        179.38       1148.93      1.03489     -0.84602     0.5520     0.8000     0.5520
     61        61      12        949.95        179.38       1106.36      1.23337     -0.60869     0.4680     0.7120     0.4680
     61        61      13        960.39        179.38       1060.49      1.23990     -0.33156     0.5240     0.6240     0.5240
